enrollment_id,student_id,course_id,marks_obtained,grade,grade_point,attendance_percentage,semester,academic_year
6406,STU2024CS0174,CRS_CS105,51.7,B,6.0,90.3,1,2023-2024
6407,STU2024CS0174,CRS_CS201,74.4,A,8.0,75.6,2,2023-2024
6408,STU2024CS0174,CRS_CS202,66.9,B+,7.0,83.0,2,2023-2024
6409,STU2024CS0174,CRS_CS203,70.7,A,8.0,90.9,2,2023-2024
6410,STU2024CS0174,CRS_CS204,83.3,A+,9.0,85.7,2,2023-2024
6411,STU2024CS0174,CRS_CS205,71.4,A,8.0,81.7,2,2023-2024
6412,STU2024CS0174,CRS_CS301,70.2,A,8.0,77.9,3,2024-2025
6413,STU2024CS0174,CRS_CS302,37.5,P,4.0,91.3,3,2024-2025
6414,STU2024CS0174,CRS_CS303,67.5,B+,7.0,82.4,3,2024-2025
6415,STU2024CS0174,CRS_CS304,71.0,A,8.0,83.4,3,2024-2025
6416,STU2024CS0174,CRS_CS305,77.8,A,8.0,80.9,3,2024-2025
6417,STU2024CS0174,CRS_CS401,55.5,B,6.0,89.0,4,2024-2025
6418,STU2024CS0174,CRS_CS402,60.7,B+,7.0,82.7,4,2024-2025
6419,STU2024CS0174,CRS_CS403,78.1,A,8.0,76.0,4,2024-2025
6420,STU2024CS0174,CRS_CS404,74.2,A,8.0,83.3,4,2024-2025
6421,STU2024CS0174,CRS_CS405,68.0,B+,7.0,85.4,4,2024-2025
6422,STU2024CS0174,CRS_CS501,78.7,A,8.0,79.1,5,2025-2026
6423,STU2024CS0174,CRS_CS502,69.7,B+,7.0,80.6,5,2025-2026
6424,STU2024CS0174,CRS_CS503,83.1,A+,9.0,85.2,5,2025-2026
6425,STU2024CS0174,CRS_CS504,67.6,B+,7.0,82.1,5,2025-2026
6426,STU2024CS0174,CRS_CS505,64.6,B+,7.0,81.0,5,2025-2026
6427,STU2024CS0174,CRS_CS601,99.0,O,10.0,84.6,6,2025-2026
6428,STU2024CS0174,CRS_CS602,80.7,A+,9.0,86.1,6,2025-2026
6429,STU2024CS0174,CRS_CS603,65.8,B+,7.0,87.9,6,2025-2026
6430,STU2024CS0174,CRS_CS604,69.8,B+,7.0,89.5,6,2025-2026
6431,STU2024CS0174,CRS_CS605,67.6,B+,7.0,83.5,6,2025-2026
6432,STU2024CS0174,CRS_CS701,57.4,B,6.0,84.1,7,2026-2027
6433,STU2024CS0174,CRS_CS702,70.4,A,8.0,87.3,7,2026-2027
6434,STU2024CS0174,CRS_CS703,75.2,A,8.0,76.1,7,2026-2027
6435,STU2024CS0174,CRS_CS704,88.2,A+,9.0,82.7,7,2026-2027
6436,STU2024CS0174,CRS_CS801,72.6,A,8.0,77.5,8,2026-2027
6437,STU2024CS0174,CRS_CS802,68.9,B+,7.0,78.1,8,2026-2027
6438,STU2024CS0174,CRS_CS803,89.7,A+,9.0,91.0,8,2026-2027
6439,STU2024CS0175,CRS_CS101,86.9,A+,9.0,80.8,1,2021-2022
6440,STU2024CS0175,CRS_CS102,75.2,A,8.0,80.7,1,2021-2022
6441,STU2024CS0175,CRS_CS103,74.2,A,8.0,77.4,1,2021-2022
6442,STU2024CS0175,CRS_CS104,77.7,A,8.0,78.7,1,2021-2022
6443,STU2024CS0175,CRS_CS105,67.5,B+,7.0,82.9,1,2021-2022
6444,STU2024CS0175,CRS_CS201,73.7,A,8.0,82.1,2,2021-2022
6445,STU2024CS0175,CRS_CS202,67.1,B+,7.0,91.7,2,2021-2022
6446,STU2024CS0175,CRS_CS203,87.3,A+,9.0,78.1,2,2021-2022
6447,STU2024CS0175,CRS_CS204,65.0,B+,7.0,87.5,2,2021-2022
6448,STU2024CS0175,CRS_CS205,76.0,A,8.0,91.9,2,2021-2022
6449,STU2024CS0175,CRS_CS301,76.5,A,8.0,83.2,3,2022-2023
6450,STU2024CS0175,CRS_CS302,88.3,A+,9.0,89.2,3,2022-2023
6451,STU2024CS0175,CRS_CS303,68.8,B+,7.0,76.5,3,2022-2023
6452,STU2024CS0175,CRS_CS304,66.7,B+,7.0,79.6,3,2022-2023
6453,STU2024CS0175,CRS_CS305,80.1,A+,9.0,88.2,3,2022-2023
6454,STU2024CS0175,CRS_CS401,78.6,A,8.0,85.7,4,2022-2023
6455,STU2024CS0175,CRS_CS402,94.5,O,10.0,81.6,4,2022-2023
6456,STU2024CS0175,CRS_CS403,75.4,A,8.0,89.3,4,2022-2023
6457,STU2024CS0175,CRS_CS404,87.0,A+,9.0,84.1,4,2022-2023
6458,STU2024CS0175,CRS_CS405,85.7,A+,9.0,90.0,4,2022-2023
6459,STU2024CS0175,CRS_CS501,66.6,B+,7.0,88.2,5,2023-2024
6460,STU2024CS0175,CRS_CS502,58.7,B,6.0,83.4,5,2023-2024
6461,STU2024CS0175,CRS_CS503,70.6,A,8.0,81.3,5,2023-2024
6462,STU2024CS0175,CRS_CS504,82.6,A+,9.0,90.1,5,2023-2024
6463,STU2024CS0175,CRS_CS505,88.5,A+,9.0,80.7,5,2023-2024
6464,STU2024CS0175,CRS_CS601,42.0,C,5.0,79.7,6,2023-2024
6465,STU2024CS0175,CRS_CS602,65.0,B+,7.0,89.9,6,2023-2024
6466,STU2024CS0175,CRS_CS603,77.7,A,8.0,88.2,6,2023-2024
6467,STU2024CS0175,CRS_CS604,80.6,A+,9.0,85.2,6,2023-2024
6468,STU2024CS0175,CRS_CS605,63.5,B+,7.0,78.1,6,2023-2024
6469,STU2024CS0175,CRS_CS701,67.1,B+,7.0,86.9,7,2024-2025
6470,STU2024CS0175,CRS_CS702,56.7,B,6.0,85.9,7,2024-2025
6471,STU2024CS0175,CRS_CS703,91.1,O,10.0,87.9,7,2024-2025
6472,STU2024CS0175,CRS_CS704,76.1,A,8.0,85.5,7,2024-2025
6473,STU2024CS0175,CRS_CS801,66.9,B+,7.0,90.0,8,2024-2025
6474,STU2024CS0175,CRS_CS802,86.2,A+,9.0,85.5,8,2024-2025
6475,STU2024CS0175,CRS_CS803,76.0,A,8.0,78.7,8,2024-2025
6476,STU2024CS0176,CRS_CS101,88.3,A+,9.0,84.2,1,2022-2023
6477,STU2024CS0176,CRS_CS102,90.0,O,10.0,83.1,1,2022-2023
6478,STU2024CS0176,CRS_CS103,63.6,B+,7.0,89.2,1,2022-2023
6479,STU2024CS0176,CRS_CS104,86.9,A+,9.0,78.7,1,2022-2023
6480,STU2024CS0176,CRS_CS105,86.5,A+,9.0,91.7,1,2022-2023
6481,STU2024CS0176,CRS_CS201,78.7,A,8.0,80.6,2,2022-2023
6482,STU2024CS0176,CRS_CS202,79.6,A,8.0,84.1,2,2022-2023
6483,STU2024CS0176,CRS_CS203,75.3,A,8.0,77.5,2,2022-2023
6484,STU2024CS0176,CRS_CS204,61.7,B+,7.0,84.4,2,2022-2023
6485,STU2024CS0176,CRS_CS205,61.0,B+,7.0,83.5,2,2022-2023
6486,STU2024CS0176,CRS_CS301,91.7,O,10.0,89.9,3,2023-2024
6487,STU2024CS0176,CRS_CS302,76.0,A,8.0,77.9,3,2023-2024
6488,STU2024CS0176,CRS_CS303,71.3,A,8.0,75.6,3,2023-2024
6489,STU2024CS0176,CRS_CS304,80.3,A+,9.0,81.9,3,2023-2024
6490,STU2024CS0176,CRS_CS305,66.6,B+,7.0,89.8,3,2023-2024
6491,STU2024CS0176,CRS_CS401,69.4,B+,7.0,87.2,4,2023-2024
6492,STU2024CS0176,CRS_CS402,74.2,A,8.0,76.9,4,2023-2024
6493,STU2024CS0176,CRS_CS403,68.1,B+,7.0,80.9,4,2023-2024
6494,STU2024CS0176,CRS_CS404,79.2,A,8.0,87.9,4,2023-2024
6495,STU2024CS0176,CRS_CS405,72.6,A,8.0,89.1,4,2023-2024
6496,STU2024CS0176,CRS_CS501,79.1,A,8.0,78.2,5,2024-2025
6497,STU2024CS0176,CRS_CS502,80.1,A+,9.0,78.3,5,2024-2025
6498,STU2024CS0176,CRS_CS503,85.9,A+,9.0,80.1,5,2024-2025
6499,STU2024CS0176,CRS_CS504,70.6,A,8.0,78.5,5,2024-2025
6500,STU2024CS0176,CRS_CS505,63.4,B+,7.0,85.9,5,2024-2025
6501,STU2024CS0176,CRS_CS601,99.0,O,10.0,90.5,6,2024-2025
6502,STU2024CS0176,CRS_CS602,88.3,A+,9.0,83.6,6,2024-2025
6503,STU2024CS0176,CRS_CS603,56.0,B,6.0,79.6,6,2024-2025
6504,STU2024CS0176,CRS_CS604,99.0,O,10.0,76.0,6,2024-2025
6505,STU2024CS0176,CRS_CS605,67.5,B+,7.0,84.4,6,2024-2025
6506,STU2024CS0176,CRS_CS701,72.7,A,8.0,80.2,7,2025-2026
6507,STU2024CS0176,CRS_CS702,61.8,B+,7.0,90.9,7,2025-2026
6508,STU2024CS0176,CRS_CS703,75.1,A,8.0,90.2,7,2025-2026
6509,STU2024CS0176,CRS_CS704,68.0,B+,7.0,85.4,7,2025-2026
6510,STU2024CS0176,CRS_CS801,62.1,B+,7.0,76.6,8,2025-2026
6511,STU2024CS0176,CRS_CS802,59.9,B,6.0,90.6,8,2025-2026
6512,STU2024CS0176,CRS_CS803,65.8,B+,7.0,89.5,8,2025-2026
6513,STU2024CS0177,CRS_CS101,81.3,A+,9.0,90.8,1,2022-2023
6514,STU2024CS0177,CRS_CS102,99.0,O,10.0,90.9,1,2022-2023
6515,STU2024CS0177,CRS_CS103,79.3,A,8.0,84.2,1,2022-2023
6516,STU2024CS0177,CRS_CS104,63.9,B+,7.0,75.3,1,2022-2023
6517,STU2024CS0177,CRS_CS105,70.2,A,8.0,90.1,1,2022-2023
6518,STU2024CS0177,CRS_CS201,83.9,A+,9.0,85.1,2,2022-2023
6519,STU2024CS0177,CRS_CS202,70.5,A,8.0,76.9,2,2022-2023
6520,STU2024CS0177,CRS_CS203,88.6,A+,9.0,82.4,2,2022-2023
6521,STU2024CS0177,CRS_CS204,98.0,O,10.0,76.8,2,2022-2023
6522,STU2024CS0177,CRS_CS205,53.9,B,6.0,91.9,2,2022-2023
6523,STU2024CS0177,CRS_CS301,65.9,B+,7.0,84.0,3,2023-2024
6524,STU2024CS0177,CRS_CS302,67.1,B+,7.0,84.1,3,2023-2024
6525,STU2024CS0177,CRS_CS303,90.4,O,10.0,83.8,3,2023-2024
6526,STU2024CS0177,CRS_CS304,70.4,A,8.0,85.4,3,2023-2024
6527,STU2024CS0177,CRS_CS305,84.7,A+,9.0,75.3,3,2023-2024
6528,STU2024CS0177,CRS_CS401,76.0,A,8.0,81.9,4,2023-2024
6529,STU2024CS0177,CRS_CS402,71.7,A,8.0,82.8,4,2023-2024
6530,STU2024CS0177,CRS_CS403,80.7,A+,9.0,91.7,4,2023-2024
6531,STU2024CS0177,CRS_CS404,90.6,O,10.0,89.2,4,2023-2024
6532,STU2024CS0177,CRS_CS405,41.4,C,5.0,87.6,4,2023-2024
6533,STU2024CS0177,CRS_CS501,86.6,A+,9.0,90.2,5,2024-2025
6534,STU2024CS0177,CRS_CS502,73.3,A,8.0,91.3,5,2024-2025
6535,STU2024CS0177,CRS_CS503,76.3,A,8.0,82.6,5,2024-2025
6536,STU2024CS0177,CRS_CS504,84.8,A+,9.0,88.2,5,2024-2025
6537,STU2024CS0177,CRS_CS505,76.9,A,8.0,76.5,5,2024-2025
6538,STU2024CS0177,CRS_CS601,92.5,O,10.0,90.7,6,2024-2025
6539,STU2024CS0177,CRS_CS602,50.6,B,6.0,85.7,6,2024-2025
6540,STU2024CS0177,CRS_CS603,66.4,B+,7.0,86.5,6,2024-2025
6541,STU2024CS0177,CRS_CS604,79.7,A,8.0,79.9,6,2024-2025
6542,STU2024CS0177,CRS_CS605,69.1,B+,7.0,78.2,6,2024-2025
6543,STU2024CS0177,CRS_CS701,91.0,O,10.0,91.4,7,2025-2026
6544,STU2024CS0177,CRS_CS702,67.1,B+,7.0,88.8,7,2025-2026
6545,STU2024CS0177,CRS_CS703,75.1,A,8.0,79.9,7,2025-2026
6546,STU2024CS0177,CRS_CS704,65.7,B+,7.0,89.1,7,2025-2026
6547,STU2024CS0177,CRS_CS801,72.9,A,8.0,83.5,8,2025-2026
6548,STU2024CS0177,CRS_CS802,55.5,B,6.0,79.1,8,2025-2026
6549,STU2024CS0177,CRS_CS803,59.4,B,6.0,82.6,8,2025-2026
6550,STU2024CS0178,CRS_CS101,97.2,O,10.0,81.2,1,2024-2025
6551,STU2024CS0178,CRS_CS102,74.2,A,8.0,80.7,1,2024-2025
6552,STU2024CS0178,CRS_CS103,70.0,A,8.0,75.0,1,2024-2025
6553,STU2024CS0178,CRS_CS104,61.9,B+,7.0,81.7,1,2024-2025
6554,STU2024CS0178,CRS_CS105,63.5,B+,7.0,77.2,1,2024-2025
6555,STU2024CS0178,CRS_CS201,95.5,O,10.0,85.7,2,2024-2025
6556,STU2024CS0178,CRS_CS202,74.9,A,8.0,88.7,2,2024-2025
6557,STU2024CS0178,CRS_CS203,86.3,A+,9.0,88.8,2,2024-2025
6558,STU2024CS0178,CRS_CS204,43.2,C,5.0,82.3,2,2024-2025
6559,STU2024CS0178,CRS_CS205,67.7,B+,7.0,82.1,2,2024-2025
6560,STU2024CS0178,CRS_CS301,93.4,O,10.0,87.9,3,2025-2026
6561,STU2024CS0178,CRS_CS302,68.5,B+,7.0,78.8,3,2025-2026
6562,STU2024CS0178,CRS_CS303,62.9,B+,7.0,81.1,3,2025-2026
6563,STU2024CS0178,CRS_CS304,78.7,A,8.0,88.6,3,2025-2026
6564,STU2024CS0178,CRS_CS305,58.0,B,6.0,88.4,3,2025-2026
6565,STU2024CS0178,CRS_CS401,55.7,B,6.0,89.2,4,2025-2026
6566,STU2024CS0178,CRS_CS402,91.0,O,10.0,87.4,4,2025-2026
6567,STU2024CS0178,CRS_CS403,65.7,B+,7.0,83.0,4,2025-2026
6568,STU2024CS0178,CRS_CS404,80.8,A+,9.0,89.7,4,2025-2026
6569,STU2024CS0178,CRS_CS405,96.0,O,10.0,85.0,4,2025-2026
6570,STU2024CS0178,CRS_CS501,74.5,A,8.0,89.3,5,2026-2027
6571,STU2024CS0178,CRS_CS502,80.4,A+,9.0,77.1,5,2026-2027
6572,STU2024CS0178,CRS_CS503,55.6,B,6.0,86.7,5,2026-2027
6573,STU2024CS0178,CRS_CS504,64.7,B+,7.0,77.1,5,2026-2027
6574,STU2024CS0178,CRS_CS505,93.2,O,10.0,82.1,5,2026-2027
6575,STU2024CS0178,CRS_CS601,70.0,A,8.0,81.5,6,2026-2027
6576,STU2024CS0178,CRS_CS602,59.7,B,6.0,87.6,6,2026-2027
6577,STU2024CS0178,CRS_CS603,79.8,A,8.0,75.4,6,2026-2027
6578,STU2024CS0178,CRS_CS604,88.9,A+,9.0,90.8,6,2026-2027
6579,STU2024CS0178,CRS_CS605,68.5,B+,7.0,84.8,6,2026-2027
6580,STU2024CS0178,CRS_CS701,79.9,A,8.0,82.9,7,2027-2028
6581,STU2024CS0178,CRS_CS702,84.3,A+,9.0,82.4,7,2027-2028
6582,STU2024CS0178,CRS_CS703,71.9,A,8.0,76.3,7,2027-2028
6583,STU2024CS0178,CRS_CS704,70.3,A,8.0,76.6,7,2027-2028
6584,STU2024CS0178,CRS_CS801,95.5,O,10.0,88.4,8,2027-2028
6585,STU2024CS0178,CRS_CS802,60.5,B+,7.0,75.1,8,2027-2028
6586,STU2024CS0178,CRS_CS803,75.5,A,8.0,82.2,8,2027-2028
6587,STU2024CS0179,CRS_CS101,72.8,A,8.0,76.3,1,2022-2023
6588,STU2024CS0179,CRS_CS102,72.7,A,8.0,78.5,1,2022-2023
6589,STU2024CS0179,CRS_CS103,83.6,A+,9.0,82.7,1,2022-2023
6590,STU2024CS0179,CRS_CS104,80.7,A+,9.0,83.6,1,2022-2023
6591,STU2024CS0179,CRS_CS105,77.3,A,8.0,87.6,1,2022-2023
6592,STU2024CS0179,CRS_CS201,55.8,B,6.0,85.3,2,2022-2023
6593,STU2024CS0179,CRS_CS202,63.8,B+,7.0,88.3,2,2022-2023
6594,STU2024CS0179,CRS_CS203,71.1,A,8.0,81.2,2,2022-2023
6595,STU2024CS0179,CRS_CS204,75.0,A,8.0,87.6,2,2022-2023
6596,STU2024CS0179,CRS_CS205,93.0,O,10.0,90.4,2,2022-2023
6597,STU2024CS0179,CRS_CS301,74.8,A,8.0,83.7,3,2023-2024
6598,STU2024CS0179,CRS_CS302,83.0,A+,9.0,79.5,3,2023-2024
6599,STU2024CS0179,CRS_CS303,73.2,A,8.0,77.2,3,2023-2024
6600,STU2024CS0179,CRS_CS304,82.0,A+,9.0,82.4,3,2023-2024
6601,STU2024CS0179,CRS_CS305,74.1,A,8.0,84.5,3,2023-2024
6602,STU2024CS0179,CRS_CS401,62.1,B+,7.0,80.7,4,2023-2024
6603,STU2024CS0179,CRS_CS402,80.4,A+,9.0,81.2,4,2023-2024
6604,STU2024CS0179,CRS_CS403,79.1,A,8.0,87.9,4,2023-2024
6605,STU2024CS0179,CRS_CS404,58.3,B,6.0,77.1,4,2023-2024
6606,STU2024CS0179,CRS_CS405,73.2,A,8.0,80.9,4,2023-2024
6607,STU2024CS0179,CRS_CS501,73.1,A,8.0,82.7,5,2024-2025
6608,STU2024CS0179,CRS_CS502,67.3,B+,7.0,80.1,5,2024-2025
6609,STU2024CS0179,CRS_CS503,61.5,B+,7.0,88.3,5,2024-2025
6610,STU2024CS0179,CRS_CS504,76.5,A,8.0,80.7,5,2024-2025
6611,STU2024CS0179,CRS_CS505,91.6,O,10.0,90.1,5,2024-2025
6612,STU2024CS0179,CRS_CS601,81.5,A+,9.0,89.2,6,2024-2025
6613,STU2024CS0179,CRS_CS602,56.9,B,6.0,83.6,6,2024-2025
6614,STU2024CS0179,CRS_CS603,90.6,O,10.0,88.1,6,2024-2025
6615,STU2024CS0179,CRS_CS604,88.6,A+,9.0,82.3,6,2024-2025
6616,STU2024CS0179,CRS_CS605,67.9,B+,7.0,80.6,6,2024-2025
6617,STU2024CS0179,CRS_CS701,93.0,O,10.0,92.0,7,2025-2026
6618,STU2024CS0179,CRS_CS702,57.6,B,6.0,83.4,7,2025-2026
6619,STU2024CS0179,CRS_CS703,68.4,B+,7.0,75.7,7,2025-2026
6620,STU2024CS0179,CRS_CS704,69.1,B+,7.0,84.5,7,2025-2026
6621,STU2024CS0179,CRS_CS801,58.4,B,6.0,86.8,8,2025-2026
6622,STU2024CS0179,CRS_CS802,76.4,A,8.0,87.6,8,2025-2026
6623,STU2024CS0179,CRS_CS803,65.1,B+,7.0,91.8,8,2025-2026
6624,STU2024CS0180,CRS_CS101,60.2,B+,7.0,81.4,1,2023-2024
6625,STU2024CS0180,CRS_CS102,70.9,A,8.0,88.5,1,2023-2024
6626,STU2024CS0180,CRS_CS103,91.2,O,10.0,88.1,1,2023-2024
6627,STU2024CS0180,CRS_CS104,83.8,A+,9.0,91.0,1,2023-2024
6628,STU2024CS0180,CRS_CS105,78.6,A,8.0,84.9,1,2023-2024
6629,STU2024CS0180,CRS_CS201,68.0,B+,7.0,87.9,2,2023-2024
6630,STU2024CS0180,CRS_CS202,58.4,B,6.0,86.1,2,2023-2024
6631,STU2024CS0180,CRS_CS203,61.7,B+,7.0,83.5,2,2023-2024
6632,STU2024CS0180,CRS_CS204,83.0,A+,9.0,87.7,2,2023-2024
6633,STU2024CS0180,CRS_CS205,65.0,B+,7.0,78.2,2,2023-2024
6634,STU2024CS0180,CRS_CS301,75.4,A,8.0,78.7,3,2024-2025
6635,STU2024CS0180,CRS_CS302,78.8,A,8.0,83.6,3,2024-2025
6636,STU2024CS0180,CRS_CS303,56.4,B,6.0,78.5,3,2024-2025
6637,STU2024CS0180,CRS_CS304,73.8,A,8.0,89.7,3,2024-2025
6638,STU2024CS0180,CRS_CS305,77.8,A,8.0,89.4,3,2024-2025
6639,STU2024CS0180,CRS_CS401,94.6,O,10.0,78.3,4,2024-2025
6640,STU2024CS0180,CRS_CS402,75.1,A,8.0,86.7,4,2024-2025
6641,STU2024CS0180,CRS_CS403,82.4,A+,9.0,76.4,4,2024-2025
6642,STU2024CS0180,CRS_CS404,68.2,B+,7.0,88.1,4,2024-2025
6643,STU2024CS0180,CRS_CS405,85.4,A+,9.0,83.3,4,2024-2025
6644,STU2024CS0180,CRS_CS501,59.6,B,6.0,81.2,5,2025-2026
6645,STU2024CS0180,CRS_CS502,79.2,A,8.0,75.7,5,2025-2026
6646,STU2024CS0180,CRS_CS503,75.7,A,8.0,90.6,5,2025-2026
6647,STU2024CS0180,CRS_CS504,87.6,A+,9.0,81.5,5,2025-2026
6648,STU2024CS0180,CRS_CS505,78.8,A,8.0,83.0,5,2025-2026
6649,STU2024CS0180,CRS_CS601,71.4,A,8.0,84.1,6,2025-2026
6650,STU2024CS0180,CRS_CS602,85.3,A+,9.0,75.3,6,2025-2026
6651,STU2024CS0180,CRS_CS603,78.6,A,8.0,87.2,6,2025-2026
6652,STU2024CS0180,CRS_CS604,62.8,B+,7.0,84.9,6,2025-2026
6653,STU2024CS0180,CRS_CS605,72.1,A,8.0,81.0,6,2025-2026
6654,STU2024CS0180,CRS_CS701,61.6,B+,7.0,83.4,7,2026-2027
6655,STU2024CS0180,CRS_CS702,77.7,A,8.0,76.4,7,2026-2027
6656,STU2024CS0180,CRS_CS703,79.0,A,8.0,90.1,7,2026-2027
6657,STU2024CS0180,CRS_CS704,92.4,O,10.0,77.4,7,2026-2027
6658,STU2024CS0180,CRS_CS801,71.9,A,8.0,86.4,8,2026-2027
6659,STU2024CS0180,CRS_CS802,70.1,A,8.0,75.3,8,2026-2027
6660,STU2024CS0180,CRS_CS803,57.2,B,6.0,77.6,8,2026-2027
6661,STU2024CS0181,CRS_CS101,58.5,B,6.0,62.5,1,2024-2025
6662,STU2024CS0181,CRS_CS102,56.5,B,6.0,77.3,1,2024-2025
6663,STU2024CS0181,CRS_CS103,63.5,B+,7.0,63.5,1,2024-2025
6664,STU2024CS0181,CRS_CS104,56.0,B,6.0,83.6,1,2024-2025
6665,STU2024CS0181,CRS_CS105,56.0,B,6.0,83.3,1,2024-2025
6666,STU2024CS0181,CRS_CS201,63.4,B+,7.0,73.1,2,2024-2025
6667,STU2024CS0181,CRS_CS202,59.8,B,6.0,61.9,2,2024-2025
6668,STU2024CS0181,CRS_CS203,55.7,B,6.0,69.8,2,2024-2025
6669,STU2024CS0181,CRS_CS204,55.5,B,6.0,69.6,2,2024-2025
6670,STU2024CS0181,CRS_CS205,98.6,O,10.0,63.0,2,2024-2025
6671,STU2024CS0181,CRS_CS301,55.0,B,6.0,80.2,3,2025-2026
6672,STU2024CS0181,CRS_CS302,57.6,B,6.0,63.4,3,2025-2026
6673,STU2024CS0181,CRS_CS303,31.2,F,0.0,65.6,3,2025-2026
6674,STU2024CS0181,CRS_CS304,80.7,A+,9.0,76.0,3,2025-2026
6675,STU2024CS0181,CRS_CS305,21.2,F,0.0,74.8,3,2025-2026
6676,STU2024CS0181,CRS_CS401,44.4,C,5.0,72.3,4,2025-2026
6677,STU2024CS0181,CRS_CS402,71.8,A,8.0,76.7,4,2025-2026
6678,STU2024CS0181,CRS_CS403,29.5,F,0.0,60.7,4,2025-2026
6679,STU2024CS0181,CRS_CS404,49.6,C,5.0,64.7,4,2025-2026
6680,STU2024CS0181,CRS_CS405,61.0,B+,7.0,74.0,4,2025-2026
6681,STU2024CS0181,CRS_CS501,59.6,B,6.0,74.6,5,2026-2027
6682,STU2024CS0181,CRS_CS502,49.1,C,5.0,63.7,5,2026-2027
6683,STU2024CS0181,CRS_CS503,75.9,A,8.0,82.6,5,2026-2027
6684,STU2024CS0181,CRS_CS504,77.1,A,8.0,60.2,5,2026-2027
6685,STU2024CS0181,CRS_CS505,72.3,A,8.0,76.8,5,2026-2027
6686,STU2024CS0181,CRS_CS601,53.0,B,6.0,82.4,6,2026-2027
6687,STU2024CS0181,CRS_CS602,64.4,B+,7.0,74.2,6,2026-2027
6688,STU2024CS0181,CRS_CS603,51.0,B,6.0,60.9,6,2026-2027
6689,STU2024CS0181,CRS_CS604,99.0,O,10.0,64.8,6,2026-2027
6690,STU2024CS0181,CRS_CS605,67.4,B+,7.0,66.8,6,2026-2027
6691,STU2024CS0181,CRS_CS701,53.1,B,6.0,81.5,7,2027-2028
6692,STU2024CS0181,CRS_CS702,99.0,O,10.0,68.6,7,2027-2028
6693,STU2024CS0181,CRS_CS703,55.2,B,6.0,60.7,7,2027-2028
6694,STU2024CS0181,CRS_CS704,66.7,B+,7.0,66.8,7,2027-2028
6695,STU2024CS0181,CRS_CS801,76.3,A,8.0,77.8,8,2027-2028
6696,STU2024CS0181,CRS_CS802,51.7,B,6.0,84.5,8,2027-2028
6697,STU2024CS0181,CRS_CS803,50.5,B,6.0,77.5,8,2027-2028
6698,STU2024CS0182,CRS_CS101,92.2,O,10.0,92.0,1,2023-2024
6699,STU2024CS0182,CRS_CS102,84.8,A+,9.0,91.0,1,2023-2024
6700,STU2024CS0182,CRS_CS103,82.7,A+,9.0,76.9,1,2023-2024
6701,STU2024CS0182,CRS_CS104,82.7,A+,9.0,91.2,1,2023-2024
6702,STU2024CS0182,CRS_CS105,79.1,A,8.0,78.6,1,2023-2024
6703,STU2024CS0182,CRS_CS201,96.2,O,10.0,79.2,2,2023-2024
6704,STU2024CS0182,CRS_CS202,74.5,A,8.0,85.2,2,2023-2024
6705,STU2024CS0182,CRS_CS203,64.9,B+,7.0,82.5,2,2023-2024
6706,STU2024CS0182,CRS_CS204,60.8,B+,7.0,84.0,2,2023-2024
6707,STU2024CS0182,CRS_CS205,69.6,B+,7.0,80.1,2,2023-2024
6708,STU2024CS0182,CRS_CS301,41.1,C,5.0,77.7,3,2024-2025
6709,STU2024CS0182,CRS_CS302,89.2,A+,9.0,77.9,3,2024-2025
6710,STU2024CS0182,CRS_CS303,78.4,A,8.0,76.8,3,2024-2025
6711,STU2024CS0182,CRS_CS304,64.8,B+,7.0,91.2,3,2024-2025
6712,STU2024CS0182,CRS_CS305,85.7,A+,9.0,87.1,3,2024-2025
6713,STU2024CS0182,CRS_CS401,60.8,B+,7.0,83.9,4,2024-2025
6714,STU2024CS0182,CRS_CS402,63.1,B+,7.0,76.3,4,2024-2025
6715,STU2024CS0182,CRS_CS403,74.9,A,8.0,75.2,4,2024-2025
6716,STU2024CS0182,CRS_CS404,91.0,O,10.0,86.4,4,2024-2025
6717,STU2024CS0182,CRS_CS405,78.2,A,8.0,78.6,4,2024-2025
6718,STU2024CS0182,CRS_CS501,44.2,C,5.0,84.4,5,2025-2026
6719,STU2024CS0182,CRS_CS502,63.4,B+,7.0,79.2,5,2025-2026
6720,STU2024CS0182,CRS_CS503,65.1,B+,7.0,81.4,5,2025-2026
6721,STU2024CS0182,CRS_CS504,76.2,A,8.0,85.8,5,2025-2026
6722,STU2024CS0182,CRS_CS505,58.5,B,6.0,83.9,5,2025-2026
6723,STU2024CS0182,CRS_CS601,59.4,B,6.0,83.3,6,2025-2026
6724,STU2024CS0182,CRS_CS602,70.9,A,8.0,81.8,6,2025-2026
6725,STU2024CS0182,CRS_CS603,81.1,A+,9.0,77.3,6,2025-2026
6726,STU2024CS0182,CRS_CS604,81.9,A+,9.0,76.5,6,2025-2026
6727,STU2024CS0182,CRS_CS605,74.9,A,8.0,89.6,6,2025-2026
6728,STU2024CS0182,CRS_CS701,83.8,A+,9.0,76.0,7,2026-2027
6729,STU2024CS0182,CRS_CS702,99.0,O,10.0,89.6,7,2026-2027
6730,STU2024CS0182,CRS_CS703,92.8,O,10.0,76.7,7,2026-2027
6731,STU2024CS0182,CRS_CS704,68.3,B+,7.0,89.7,7,2026-2027
6732,STU2024CS0182,CRS_CS801,58.0,B,6.0,91.0,8,2026-2027
6733,STU2024CS0182,CRS_CS802,69.5,B+,7.0,89.1,8,2026-2027
